Tsuruoka 03.08.08 survival p + C + Ne + Fe + X-rays
   34
   8.0   1.0      5.0827e-1    3.870    150.0	X-rays/150MeVprot
   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0
   0.5    6.880e+1   6.00e+1   7.55e+1   8.80e+0
   1.0    5.000e+1   4.14e+1   5.78e+1   8.60e+0
   1.5    4.280e+1   3.51e+1   4.96e+1   7.69e+0
   2.4    2.370e+1   2.28e+1   2.50e+1   0.90e+0
   3.2    1.200e+1   0.84e+1   1.58e+1   3.64e+0
   4.8    0.326e+1   0.25e+1   0.40e+1   0.76e+0
   6.0    0.100e+1   0.09e+1   0.11e+1   0.01e+0
   9.0   6.0      6.4165e-1    87.43    130.0	13keV C/290
   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0
   0.395  7.450e+1   6.70e+1   8.10e+1   7.50e+0
   0.7    6.000e+1   5.30e+1   6.60e+1   7.00e+0
   0.989  4.970e+1   4.20e+1   5.90e+1   7.70e+0
   1.4    3.510e+1   3.10e+1   3.70e+1   4.10e+0
   2.0    2.080e+1   1.90e+1   2.30e+1   1.80e+0
   2.8    1.280e+1   1.20e+1   1.40e+1   0.80e+0
   3.5    0.598e+1   0.54e+1   0.65e+1   0.58e+0
   4.2    0.350e+1   0.32e+1   0.38e+1   0.30e+0
   6.0   6.0      5.1468e-1   135.89    190.0	19keV C/290
   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0
   1.187  4.180e+1   3.85e+1   4.52e+1   3.30e+0
   1.46   2.870e+1   2.68e+1   3.03e+1   1.90e+0
   1.97   1.700e+1   1.53e+1   1.84e+1   1.70e+0
   2.96   0.710e+1   0.64e+1   0.77e+1   0.70e+0
   3.96   0.270e+1   0.24e+1   0.30e+1   0.30e+0
   7.0   6.0      3.444e-1    303.47    380.0	38keV C/290
   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0
   0.566  6.330e+1   5.70e+1   6.70e+1   6.30e+0
   1.147  3.330e+1   3.00e+1   3.57e+1   3.30e+0
   1.538  2.580e+1   2.26e+1   2.91e+1   3.20e+0
   1.93   1.250e+1   1.19e+1   1.31e+1   0.60e+0
   2.32   0.885e+1   0.79e+1   0.99e+1   0.90e+0
   3.09   0.401e+1   0.35e+1   0.45e+1   0.45e+0
   6.0   6.0      2.806e-1   457.06     540.0	54keV C/290
   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0
   0.728  4.130e+1   3.76e+1   4.53e+1   3.70e+0
   1.0    2.550e+1   2.39e+1   2.91e+1   1.60e+0
   1.45   1.420e+1   1.27e+1   1.59e+1   1.50e+0
   2.20   0.437e+1   0.39e+1   0.50e+1   0.47e+0
   2.94   0.190e+1   0.17e+1   0.21e+1   0.20e+0
   7.0   6.0      2.540e-1   557.88     640.0	64keV C/290
   0.0    1.000e+2   1.00e+2   1.00e+2   1.00e+0
   0.33   4.600e+1   4.19e+1   5.19e+1   4.10e+0
   0.68   2.880e+1   2.08e+1   3.04e+1   8.00e+0
   1.0    2.000e+1   1.90e+1   2.10e+1   1.00e+0
   1.37   0.925e+1   0.90e+1   0.94e+1   0.25e+0
